Event ID,Event Type,Public,Number Affected,Event Start Date,Event End Date,Countries,States (or equivalent),Counties (or equivalent),Species,Event Diagnosis
202885,Mortality/Morbidity,TRUE,3,12/2/22,12/2/22,United States,Louisiana,"St John The Baptist Parish, LA",Wood Duck,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect; Penetrating Trauma (gunshot)
202880,Mortality/Morbidity,TRUE,1,11/29/22,11/29/22,United States,Kansas,"Sherman County, KS",Great Horned Owl,Highly Pathogenic Avian Influenza (AI virus H5N1)
202879,Mortality/Morbidity,TRUE,1,11/27/22,11/27/22,United States,Tennessee,"Robertson County, TN",Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202877,Mortality/Morbidity,TRUE,1,11/25/22,11/25/22,United States,North Carolina,"Pamlico County, NC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect; Nutritional Deficiency
202876,Mortality/Morbidity,TRUE,22,12/2/22,,United States,New Mexico,"Socorro County, NM",Snow Goose; Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202873,Mortality/Morbidity,TRUE,800,11/28/22,11/28/22,United States,Kansas,"Mitchell County, KS",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202872,Mortality/Morbidity,TRUE,1,11/22/22,11/22/22,United States,Kansas,"Jewell County, KS",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202871,Mortality/Morbidity,TRUE,1,11/29/22,11/29/22,United States,Kansas,"Kearny County, KS",Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202870,Mortality/Morbidity,TRUE,3755,11/26/22,1/9/23,United States,Kansas,"Phillips County, KS",Lesser Snow Goose; Ross' Goose; Mallard; Greater White-fronted Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202869,Mortality/Morbidity,TRUE,1,11/29/22,11/29/22,United States,Kansas,"Kearny County, KS",Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
